,room_capacity,layout,property_type,location,city,price,area_in_sqft,status,deposit,no_bathrooms,facing
835,1,BHK,Apartment,Sanjeeva Reddy Nagar,Hyderabad,"10,200",687,Semi-Furnished,No,1,NorthEast
836,3,BHK,Apartment,Neknampur,Hyderabad,"30,000",1575,Semi-Furnished,No,3,West
837,3,BHK,Apartment,Kondapur,Hyderabad,"70,000",1855,Semi-Furnished,No,3,NorthEast
838,1,BHK,Apartment,Kondapur,Hyderabad,"14,566",800,Semi-Furnished,No,1,
839,1,BHK,Apartment,Kondapur,Hyderabad,"14,551",800,Semi-Furnished,No,1,
840,3,BHK,Apartment,Jubilee Hills,Hyderabad,"45,000",2000,Furnished,No,3,NorthEast
841,1,BHK,Apartment,Jubilee Hills,Hyderabad,"13,000",500,Unfurnished,No,1,East
842,3,BHK,Apartment,Jubilee Hills,Hyderabad,"55,000",2000,Semi-Furnished,No,3,East
843,1,BHK,Apartment,Jubilee Hills,Hyderabad,"15,000",550,Unfurnished,No,1,West
844,3,BHK,Apartment,Jubilee Hills,Hyderabad,"55,000",2200,Semi-Furnished,No,3,East
845,2,BHK,Apartment,Jubilee Hills,Hyderabad,"30,000",1050,Semi-Furnished,No,2,NorthEast
846,2,BHK,Apartment,Madhapur,Hyderabad,"35,000",1100,Semi-Furnished,No,2,East
847,2,BHK,Apartment,Jubilee Hills,Hyderabad,"25,000",1000,Semi-Furnished,No,2,North
848,2,BHK,Apartment,Madhapur,Hyderabad,"30,000",1050,Semi-Furnished,No,2,NorthEast
849,1,BHK,Apartment,Kondapur,Hyderabad,"23,500",750,Furnished,No,1,NorthEast
850,2,BHK,Apartment,Kondapur,Hyderabad,"24,999",1250,Semi-Furnished,No,2,
851,2,BHK,Apartment,Kondapur,Hyderabad,"25,999",800,Semi-Furnished,No,2,
852,2,BHK,Apartment,Kondapur,Hyderabad,"25,199",1250,Semi-Furnished,No,2,
853,3,BHK,Apartment,Mahendra Hills,Hyderabad,"18,000",1800,Semi-Furnished,No,2,
854,3,BHK,Apartment,Kondapur,Hyderabad,1.1,2835,Semi-Furnished,No,3,NorthEast
855,3,BHK,Apartment,Hitech City,Hyderabad,"60,000",1650,Furnished,No,3,East
856,3,BHK,Apartment,Jubilee Hills,Hyderabad,1.1,2500,Semi-Furnished,No,4,East
857,1,RK,Studio,Madhapur,Hyderabad,"17,000",350,Semi-Furnished,No,1,North
858,4,BHK,Apartment,Kokapet,Hyderabad,"70,000",2600,Semi-Furnished,No,4,NorthEast
859,1,BHK,Apartment,Kondapur,Hyderabad,"18,000",752,Semi-Furnished,No,1,
860,3,BHK,Apartment,Mahendra Hills,Hyderabad,"18,000",1800,Semi-Furnished,No,2,
861,3,BHK,Apartment,Kondapur,Hyderabad,"35,000",1850,Semi-Furnished,No,3,NorthEast
862,2,BHK,Apartment,Madhapur,Hyderabad,"35,000",1050,Semi-Furnished,No,2,North
863,1,BHK,Apartment,Madhapur,Hyderabad,"25,000",450,Furnished,No,1,East
864,1,BHK,Apartment,Kondapur,Hyderabad,"19,000",756,Semi-Furnished,No,1,
865,2,BHK,Apartment,Kondapur,Hyderabad,"26,000",1143,Semi-Furnished,No,2,
866,1,BHK,Apartment,Kondapur,Hyderabad,"18,000",752,Semi-Furnished,No,1,
867,4,BHK,Villa,Kokapet,Hyderabad,2.4,4500,Semi-Furnished,No,4,NorthEast
868,1,BHK,Apartment,Kondapur,Hyderabad,"15,111",800,Semi-Furnished,No,1,
869,1,BHK,Apartment,Kondapur,Hyderabad,"19,003",756,Semi-Furnished,No,1,
870,3,BHK,Apartment,Kokapet,Hyderabad,"65,000",2600,Furnished,No,3,NorthEast
871,3,BHK,Apartment,Kukatpally,Hyderabad,"46,000",1700,Semi-Furnished,No,3,NorthEast
872,2,BHK,Apartment,Kondapur,Hyderabad,"28,000",1254,Semi-Furnished,No,2,
873,3,BHK,Apartment,Kondapur,Hyderabad,"60,000",1855,Semi-Furnished,No,3,NorthEast
874,2,BHK,Apartment,Kondapur,Hyderabad,"29,000",1265,Semi-Furnished,No,2,NorthEast
875,3,BHK,Apartment,Kukatpally,Hyderabad,"60,000",1735,Semi-Furnished,No,3,NorthEast
876,3,BHK,Apartment,Puppalaguda,Hyderabad,"50,000",1755,Furnished,No,3,East
877,4,BHK,Villa,Kokapet,Hyderabad,2.4,4500,Semi-Furnished,No,4,NorthEast
878,2,BHK,Apartment,Kondapur,Hyderabad,"29,500",1364,Semi-Furnished,No,2,
879,2,BHK,Apartment,Kondapur,Hyderabad,"23,000",1256,Unfurnished,No,1,NorthEast
880,1,BHK,Apartment,Madhapur,Hyderabad,"25,000",450,Furnished,No,1,East
881,4,BHK,Villa,Kokapet,Hyderabad,2.4,4500,Semi-Furnished,No,4,NorthEast
882,1,BHK,Apartment,Kondapur,Hyderabad,"15,111",800,Semi-Furnished,No,1,
883,2,BHK,Apartment,Kondapur,Hyderabad,"45,000",1250,Unfurnished,No,2,NorthEast
884,1,BHK,Apartment,Madhapur,Hyderabad,"25,000",600,Furnished,No,1,East
885,3,BHK,Apartment,Kokapet,Hyderabad,"70,000",1668,Furnished,No,3,NorthEast
886,4,BHK,Apartment,Kokapet,Hyderabad,"70,000",2600,Semi-Furnished,No,4,NorthEast
887,3,BHK,Apartment,Kukatpally,Hyderabad,"60,000",1735,Semi-Furnished,No,3,NorthEast
888,2,BHK,Apartment,Kondapur,Hyderabad,"24,999",1250,Semi-Furnished,No,2,
889,2,BHK,Apartment,Kondapur,Hyderabad,"25,999",800,Semi-Furnished,No,2,
890,2,BHK,Apartment,Kondapur,Hyderabad,"25,199",1250,Semi-Furnished,No,2,
891,3,BHK,Apartment,Mahendra Hills,Hyderabad,"18,000",1800,Semi-Furnished,No,2,
892,3,BHK,Apartment,Kondapur,Hyderabad,1.1,2835,Semi-Furnished,No,3,NorthEast
893,3,BHK,Apartment,Hitech City,Hyderabad,"60,000",1650,Furnished,No,3,East
894,3,BHK,Apartment,Jubilee Hills,Hyderabad,1.1,2500,Semi-Furnished,No,4,East
895,1,RK,Studio,Madhapur,Hyderabad,"17,000",350,Semi-Furnished,No,1,North
896,5,BHK,Apartment,West Marredpally,Hyderabad,"52,000",5000,Furnished,No,5,East
897,1,BHK,Apartment,Kondapur,Hyderabad,"15,000",654,Unfurnished,No,1,North
898,3,BHK,Apartment,LB Nagar,Hyderabad,"32,500",1650,Semi-Furnished,No,3,West
899,2,BHK,Apartment,Kondapur,Hyderabad,"24,700",1300,Semi-Furnished,No,2,
900,3,BHK,Apartment,Gachibowli,Hyderabad,"85,000",1913,Furnished,No,3,NorthEast
901,3,BHK,Apartment,Serilingampally,Hyderabad,"64,000",1890,Semi-Furnished,No,3,NorthEast
902,3,BHK,Apartment,Kokapet,Hyderabad,"55,000",1116,Semi-Furnished,No,3,NorthEast
903,3,BHK,Apartment,Nanakramguda,Hyderabad,"85,000",2615,Furnished,No,3,NorthEast
904,3,BHK,Apartment,Tellapur,Hyderabad,"45,000",1575,Semi-Furnished,No,3,NorthEast
905,3,BHK,Apartment,Kukatpally,Hyderabad,"45,000",1830,Semi-Furnished,No,3,NorthEast
906,3,BHK,Apartment,Kukatpally,Hyderabad,"35,000",1600,Semi-Furnished,No,3,NorthEast
907,4,BHK,Apartment,Dilsukh Nagar,Hyderabad,"85,000",2700,Semi-Furnished,,,
908,1,BHK,Apartment,Kondapur,Hyderabad,"22,000",670,Furnished,No,1,East
909,1,BHK,Apartment,Kondapur,Hyderabad,"24,000",700,Furnished,No,1,NorthEast
