,room_capacity,layout,property_type,location,city,price,area_in_sqft,status,deposit,no_bathrooms,facing
1053,2,BHK,Apartment,Sanjeeva Reddy Nagar,Hyderabad,"23,000",1210,Semi-Furnished,No,2,East
1054,1,BHK,Apartment,Yousufguda,Hyderabad,"11,000",644,Unfurnished,No,1,
1055,1,RK,Studio,Kondapur,Hyderabad,"10,000",400,Unfurnished,,,
1056,1,BHK,Independent,Begumpet,Hyderabad,"12,000",500,Semi-Furnished,No,1,
1057,1,BHK,Apartment,Kondapur,Hyderabad,"25,000",700,Furnished,No,1,
1058,3,BHK,Apartment,Kondapur,Hyderabad,"38,000",1700,Furnished,No,2,
1059,1,BHK,Apartment,Kondapur,Hyderabad,"20,000",800,Semi-Furnished,No,1,
1060,2,BHK,Apartment,Kondapur,Hyderabad,"33,000",900,Furnished,No,2,
1061,2,BHK,Apartment,Kondapur,Hyderabad,"23,000",1000,Unfurnished,No,2,
1062,3,BHK,Apartment,Himayat Nagar,Hyderabad,"35,000",2100,Semi-Furnished,No,2,
1063,3,BHK,Apartment,Lakdikapul,Hyderabad,"60,001",2300,Furnished,No,3,
1064,3,BHK,Apartment,Punjagutta,Hyderabad,"80,001",2400,Semi-Furnished,No,3,
1065,1,RK,Studio,Kondapur,Hyderabad,"12,000",650,Unfurnished,No,1,East
1066,3,BHK,Apartment,Punjagutta,Hyderabad,"80,000",2400,Unfurnished,No,3,
1067,3,BHK,Apartment,Himayat Nagar,Hyderabad,"45,000",2200,Semi-Furnished,No,2,
1068,3,BHK,Apartment,Lakdikapul,Hyderabad,"60,000",2300,Furnished,No,3,
1069,1,BHK,Apartment,Kondapur,Hyderabad,"19,000",700,Semi-Furnished,No,1,
1070,1,RK,Studio,Kondapur,Hyderabad,"10,000",400,Unfurnished,No,1,North
1071,1,RK,Studio,Kondapur,Hyderabad,"9,000",350,Unfurnished,No,1,East
1072,1,RK,Studio,Kondapur,Hyderabad,"11,000",400,Unfurnished,No,1,East
1073,3,BHK,Apartment,Kondapur,Hyderabad,"35,000",1700,Semi-Furnished,No,3,East
1074,2,BHK,Apartment,Gachibowli,Hyderabad,"31,000",1200,Furnished,No,2,
1075,1,BHK,Apartment,Kondapur,Hyderabad,"16,000",800,Semi-Furnished,No,1,
1076,1,BHK,Apartment,Kondapur,Hyderabad,"14,500",675,Unfurnished,No,1,
1077,1,RK,Studio,Kondapur,Hyderabad,"17,000",615,Furnished,No,1,
1078,1,BHK,Apartment,Madhapur,Hyderabad,"28,000",700,Furnished,No,1,East
1079,3,BHK,Apartment,Madhapur,Hyderabad,"70,000",2000,Semi-Furnished,No,3,
1080,2,BHK,Apartment,Madhapur,Hyderabad,"28,000",1200,Semi-Furnished,No,2,
1081,1,BHK,Apartment,Madhapur,Hyderabad,"16,000",600,Unfurnished,No,1,
1082,1,BHK,Apartment,Madhapur,Hyderabad,"16,500",550,Semi-Furnished,No,1,
1083,1,BHK,Apartment,Madhapur,Hyderabad,"25,000",700,Furnished,No,1,
1084,1,BHK,Apartment,Madhapur,Hyderabad,"20,000",800,Semi-Furnished,No,1,
1085,2,BHK,Apartment,Madhapur,Hyderabad,"35,000",1300,Furnished,No,2,
1086,1,BHK,Apartment,Madhapur,Hyderabad,"17,000",600,Semi-Furnished,No,1,
1087,1,BHK,Apartment,Madhapur,Hyderabad,"16,000",550,Unfurnished,No,1,
1088,1,BHK,Apartment,Madhapur,Hyderabad,"17,000",600,Unfurnished,No,1,
1089,1,BHK,Apartment,Madhapur,Hyderabad,"17,000",600,Unfurnished,No,1,
1090,1,BHK,Apartment,Madhapur,Hyderabad,"26,000",600,Furnished,No,1,
1091,1,BHK,Apartment,Madhapur,Hyderabad,"18,000",600,Unfurnished,No,1,
1092,1,BHK,Apartment,Madhapur,Hyderabad,"17,000",650,Semi-Furnished,No,1,
1093,1,BHK,Apartment,Madhapur,Hyderabad,"22,000",700,Semi-Furnished,No,1,
1094,3,BHK,Apartment,Madhapur,Hyderabad,"70,000",2000,Semi-Furnished,No,3,
1095,3,BHK,Apartment,Jubilee Hills,Hyderabad,"50,000",2200,Semi-Furnished,No,2,North
1096,1,BHK,Apartment,Kondapur,Hyderabad,"15,000",712,Unfurnished,No,1,
1097,1,BHK,Apartment,Kondapur,Hyderabad,"13,500",612,Unfurnished,No,1,
1098,1,BHK,Apartment,Kondapur,Hyderabad,"15,000",715,Unfurnished,No,1,
1099,1,BHK,Apartment,Kondapur,Hyderabad,"23,500",715,Furnished,No,1,
1100,1,BHK,Apartment,Kondapur,Hyderabad,"25,000",715,Furnished,No,1,
1101,3,BHK,Apartment,Kondapur,Hyderabad,"38,000",1500,Semi-Furnished,No,2,
1102,1,BHK,Apartment,Kondapur,Hyderabad,"15,500",752,Semi-Furnished,No,1,
1103,2,BHK,Apartment,Kondapur,Hyderabad,"28,000",1200,Semi-Furnished,No,1,
1104,1,BHK,Apartment,Kondapur,Hyderabad,"14,999",672,Unfurnished,No,1,
1105,2,BHK,Apartment,Kondapur,Hyderabad,"38,000",1200,Furnished,No,2,
1106,2,BHK,Apartment,Kondapur,Hyderabad,"28,000",1200,Semi-Furnished,No,2,
1107,3,BHK,Apartment,Kondapur,Hyderabad,"48,000",1672,Semi-Furnished,No,3,
1108,1,BHK,Apartment,Kondapur,Hyderabad,"18,000",752,Semi-Furnished,No,1,
1109,1,BHK,Apartment,Kondapur,Hyderabad,"15,000",652,Unfurnished,No,1,
1110,1,BHK,Apartment,Kondapur,Hyderabad,"18,000",752,Semi-Furnished,No,1,
1111,3,BHK,Apartment,Kondapur,Hyderabad,"33,000",1500,Semi-Furnished,No,2,
1112,2,BHK,Apartment,Kondapur,Hyderabad,"32,000",1200,Semi-Furnished,No,2,
1113,1,BHK,Apartment,Hitech City,Hyderabad,"14,500",756,Unfurnished,No,1,
1114,3,BHK,Apartment,Kondapur,Hyderabad,"37,000",1700,Semi-Furnished,No,2,
1115,1,BHK,Apartment,Kondapur,Hyderabad,"23,500",756,Furnished,No,1,
1116,1,BHK,Apartment,Kondapur,Hyderabad,"16,000",712,Unfurnished,No,1,
1117,2,BHK,Apartment,Kondapur,Hyderabad,"25,000",1150,Unfurnished,No,2,
1118,2,BHK,Apartment,Kondapur,Hyderabad,"27,999",1200,Semi-Furnished,No,2,
1119,3,BHK,Apartment,Kondapur,Hyderabad,"45,000",1800,Semi-Furnished,No,3,
1120,3,BHK,Apartment,Kondapur,Hyderabad,"45,000",1800,Semi-Furnished,No,3,
1121,2,BHK,Apartment,Kondapur,Hyderabad,"29,000",1200,Semi-Furnished,No,2,
1122,1,BHK,Apartment,Kondapur,Hyderabad,"19,000",752,Semi-Furnished,No,1,
1123,2,BHK,Apartment,Kondapur,Hyderabad,"25,000",1100,Semi-Furnished,No,2,
1124,1,BHK,Apartment,Kondapur,Hyderabad,"14,999",672,Unfurnished,No,1,
1125,1,BHK,Apartment,Kondapur,Hyderabad,"15,000",712,Unfurnished,No,1,
1126,2,BHK,Apartment,Kondapur,Hyderabad,"29,000",1200,Semi-Furnished,No,2,
1127,3,BHK,Apartment,Kondapur,Hyderabad,"42,000",1500,Furnished,No,3,
1128,2,BHK,Apartment,Kondapur,Hyderabad,"26,000",1100,Semi-Furnished,No,2,
1129,2,BHK,Apartment,Kondapur,Hyderabad,"25,000",1100,Semi-Furnished,No,2,
1130,1,BHK,Apartment,Kondapur,Hyderabad,"16,000",672,Semi-Furnished,No,1,
1131,2,BHK,Apartment,Kondapur,Hyderabad,"24,000",1200,Unfurnished,No,2,
1132,1,BHK,Apartment,Kondapur,Hyderabad,"26,000",715,Furnished,No,1,
1133,1,BHK,Apartment,Kondapur,Hyderabad,"24,000",1100,Semi-Furnished,No,2,
1134,1,BHK,Apartment,Kondapur,Hyderabad,"13,000",675,Unfurnished,No,1,
1135,1,BHK,Apartment,Kondapur,Hyderabad,"14,000",715,Unfurnished,No,1,
1136,1,BHK,Apartment,Kondapur,Hyderabad,"18,000",715,Unfurnished,No,1,
1137,2,BHK,Apartment,Kondapur,Hyderabad,"32,000",1400,Semi-Furnished,No,2,North
1138,1,BHK,Apartment,Kondapur,Hyderabad,"23,200",850,Furnished,No,1,East
1139,2,BHK,Apartment,Kondapur,Hyderabad,"28,600",1350,Semi-Furnished,No,2,North
1140,2,BHK,Apartment,Kondapur,Hyderabad,"26,000",1150,Semi-Furnished,No,2,North
1141,3,BHK,Apartment,Kondapur,Hyderabad,"35,000",2200,Semi-Furnished,No,3,East
1142,2,BHK,Apartment,Kondapur,Hyderabad,"28,500",1400,Semi-Furnished,No,1,NorthEast
1143,1,BHK,Apartment,Kondapur,Hyderabad,"15,500",700,Semi-Furnished,No,1,NorthEast
1144,3,BHK,Apartment,Kondapur,Hyderabad,"34,000",1750,Semi-Furnished,No,3,NorthEast
1145,2,BHK,Apartment,Kukatpally,Hyderabad,"45,000",1350,Semi-Furnished,No,3,
1146,2,BHK,Apartment,Kondapur,Hyderabad,"23,001",1250,Semi-Furnished,No,1,
1147,3,BHK,Apartment,Kondapur,Hyderabad,"32,001",1700,Semi-Furnished,No,2,
1148,2,BHK,Apartment,Kondapur,Hyderabad,"25,000",1000,Unfurnished,No,1,
1149,2,BHK,Apartment,Kondapur,Hyderabad,"25,001",1000,Unfurnished,No,1,
1150,1,BHK,Apartment,Kondapur,Hyderabad,"20,002",550,Semi-Furnished,No,1,
1151,1,BHK,Apartment,Kondapur,Hyderabad,"19,000",550,Semi-Furnished,No,1,
1152,1,BHK,Apartment,Kondapur,Hyderabad,"23,000",650,Furnished,No,1,
1153,2,BHK,Apartment,Kondapur,Hyderabad,"25,000",800,Unfurnished,No,1,
1154,1,BHK,Apartment,Kondapur,Hyderabad,"24,001",600,Furnished,No,1,
1155,2,BHK,Apartment,Kondapur,Hyderabad,"26,000",1000,Unfurnished,No,1,
1156,2,BHK,Independent,Kondapur,Hyderabad,"26,000",850,Furnished,No,1,
1157,3,BHK,Apartment,Kondapur,Hyderabad,"32,001",1400,Semi-Furnished,No,2,
1158,1,BHK,Apartment,Kondapur,Hyderabad,"18,000",500,Semi-Furnished,No,1,
1159,1,BHK,Apartment,Kondapur,Hyderabad,"24,000",600,Furnished,No,1,
1160,2,BHK,Independent,Kondapur,Hyderabad,"26,000",850,Furnished,No,1,
1161,3,BHK,Apartment,Kondapur,Hyderabad,"32,001",1400,Semi-Furnished,No,2,
1162,1,BHK,Apartment,Kondapur,Hyderabad,"18,000",500,Semi-Furnished,No,1,
1163,2,BHK,Apartment,Kondapur,Hyderabad,"23,001",1250,Semi-Furnished,No,1,
1164,3,BHK,Apartment,Kondapur,Hyderabad,"32,001",1700,Semi-Furnished,No,2,
1165,1,BHK,Apartment,Kondapur,Hyderabad,"24,000",600,Furnished,No,1,
1166,1,BHK,Apartment,Kondapur,Hyderabad,"19,001",600,Semi-Furnished,No,1,
1167,1,BHK,Apartment,Kondapur,Hyderabad,"20,002",550,Semi-Furnished,No,1,
1168,1,BHK,Apartment,Kondapur,Hyderabad,"18,000",550,Semi-Furnished,No,1,
1169,1,BHK,Apartment,Kondapur,Hyderabad,"19,000",600,Semi-Furnished,No,1,
1170,1,BHK,Apartment,Kondapur,Hyderabad,"20,000",550,Semi-Furnished,No,1,
1171,2,BHK,Apartment,Kondapur,Hyderabad,"34,000",1200,Furnished,No,2,
1172,2,BHK,Apartment,Nanakramguda,Hyderabad,"38,000",1200,Semi-Furnished,No,2,East
1173,3,BHK,Apartment,Nanakramguda,Hyderabad,"47,000",1887,Semi-Furnished,No,3,West
1174,2,BHK,Apartment,Nanakramguda,Hyderabad,"38,000",1200,Semi-Furnished,No,2,East
1175,4,BHK,Apartment,Nanakramguda,Hyderabad,"60,000",2640,Semi-Furnished,No,4,
1176,3,BHK,Apartment,Kondapur,Hyderabad,1.05,2390,Semi-Furnished,No,3,West
1177,3,BHK,Apartment,KTR Colony Road Number 2,Hyderabad,"18,600",1460,Semi-Furnished,No,3,25th
1178,3,BHK,Apartment,Gachibowli,Hyderabad,"68,000",1206,Furnished,No,3,NorthEast
1179,4,BHK,Apartment,Nanakramguda,Hyderabad,"65,000",2640,Semi-Furnished,No,4,East
1180,2,BHK,Apartment,KTR Colony Hyderabad,Hyderabad,"15,200",1400,Unfurnished,No,2,3rd
1181,1,BHK,Independent,Alwal,Hyderabad,"7,020",700,Unfurnished,No,1,
1182,1,BHK,Independent,Alwal,Hyderabad,"7,020",700,Unfurnished,No,1,
1183,4,BHK,Independent,Gajilaramavaram,Hyderabad,"24,000",1800,Semi-Furnished,No,4,
1184,2,BHK,Independent,Alwal,Hyderabad,"13,500",1300,Unfurnished,No,2,
1185,3,BHK,Independent,Alwal,Hyderabad,"20,700",1500,Furnished,No,2,
1186,2,BHK,Apartment,Madhapur,Hyderabad,"30,000",1350,Semi-Furnished,,,
1187,1,BHK,Apartment,Madhapur,Hyderabad,"23,000",800,Furnished,,,
1188,3,BHK,Apartment,Madhapur,Hyderabad,"50,000",2000,Semi-Furnished,,,
1189,2,BHK,Apartment,Madhapur,Hyderabad,"36,000",1300,Furnished,,,
1190,1,BHK,Apartment,Madhapur,Hyderabad,"18,000",630,Semi-Furnished,,,
1191,1,BHK,Apartment,Madhapur,Hyderabad,"30,000",700,Furnished,,,
1192,3,BHK,Apartment,Madhapur,Hyderabad,"65,000",1900,Semi-Furnished,,,
1193,1,BHK,Apartment,Kondapur,Hyderabad,"15,000",672,Semi-Furnished,No,1,
1194,2,BHK,Apartment,Madhapur,Hyderabad,"33,000",1200,Semi-Furnished,,,
1195,2,BHK,Apartment,Kondapur,Hyderabad,"28,000",1500,Semi-Furnished,No,1,East
1196,2,BHK,Apartment,Kondapur,Hyderabad,"26,000",1150,Semi-Furnished,No,2,East
1197,3,BHK,Apartment,Kondapur,Hyderabad,"37,000",1850,Semi-Furnished,No,2,East
1198,1,BHK,Apartment,Kondapur,Hyderabad,"25,000",650,Semi-Furnished,No,1,East
1199,1,BHK,Apartment,Kondapur,Hyderabad,"17,000",600,Semi-Furnished,No,1,East
1200,1,BHK,Apartment,Kondapur,Hyderabad,"17,000",650,Unfurnished,No,1,East
1201,2,BHK,Apartment,Kondapur,Hyderabad,"24,000",1300,Semi-Furnished,No,2,East
1202,1,BHK,Apartment,Kondapur,Hyderabad,"14,000",650,Unfurnished,No,1,NorthEast
1203,1,BHK,Apartment,Kondapur,Hyderabad,"15,000",650,Unfurnished,No,1,East
1204,1,BHK,Apartment,Kondapur,Hyderabad,"22,000",650,Furnished,No,1,East
1205,1,BHK,Apartment,Kondapur,Hyderabad,"22,000",670,Furnished,No,1,East
1206,1,BHK,Apartment,Kondapur,Hyderabad,"15,000",650,Semi-Furnished,No,1,East
1207,1,BHK,Apartment,Gachibowli,Hyderabad,"22,000",600,Furnished,,,
1208,4,BHK,Villa,Tellapur,Hyderabad,1.5,4140,Semi-Furnished,,,
1209,2,BHK,Apartment,Jubilee Hills,Hyderabad,"3,000",400,Unfurnished,No,,
1210,2,BHK,Apartment,Jubilee Hills,Hyderabad,"3,000",400,Unfurnished,No,,
1211,3,BHK,Independent,Nizampet,Hyderabad,"40,000",1950,Semi-Furnished,No,3,East
1212,6,BHK,Villa,Yapral,Hyderabad,,,Unfurnished,No,4,East
1213,3,BHK,Apartment,Puppalaguda,Hyderabad,"48,000",1755,Semi-Furnished,No,3,East
1214,2,BHK,Independent,Dammaiguda,Hyderabad,"9,000",1200,Unfurnished,No,2,North
1215,2,BHK,Apartment,Gachibowli,Hyderabad,"20,000",1250,Furnished,No,2,
1216,3,BHK,Independent,Kompally,Hyderabad,"32,000",1995,Semi-Furnished,No,3,
1217,2,BHK,Apartment,Gachibowli,Hyderabad,"25,000",1200,Furnished,No,2,East
1218,1,BHK,Independent,Upparpally,Hyderabad,"10,000",1100,Semi-Furnished,No,1,
1219,1,BHK,Apartment,Gachibowli,Hyderabad,"11,000",710,Furnished,No,1,NorthEast
1220,1,BHK,Apartment,Gachibowli,Hyderabad,"11,000",710,Furnished,No,1,NorthEast
1221,4,BHK,Apartment,Manikonda,Hyderabad,"60,000",1800,Semi-Furnished,,,
1222,4,BHK,Independent,Trimalgherry,Hyderabad,"40,000",2740,Semi-Furnished,No,4,West
1223,1,BHK,Independent,Medchal,Hyderabad,"9,000",900,Furnished,No,1,NorthEast
1224,1,BHK,Apartment,Gachibowli,Hyderabad,"11,000",710,Furnished,No,1,NorthEast
1225,2,BHK,Independent,Kanchan Bagh,Hyderabad,"11,000",950,Unfurnished,No,2,West
1226,3,BHK,Apartment,Hitech City,Hyderabad,"52,500",1650,Semi-Furnished,No,3,North
1227,3,BHK,Apartment,Kondapur,Hyderabad,"43,000",2020,Semi-Furnished,No,3,2
1228,2,BHK,Apartment,Masab Tank,Hyderabad,"27,000",1200,Furnished,No,2,
1229,2,BHK,Independent,Hayathnagar,Hyderabad,"12,000",750,Furnished,No,2,NorthWest
1230,3,BHK,Apartment,Kokapet,Hyderabad,"72,000",2235,Semi-Furnished,,,
1231,1,BHK,Apartment,Kondapur,Hyderabad,"25,000",600,Furnished,,,
1232,1,BHK,Apartment,Kondapur,Hyderabad,"24,000",600,Furnished,,,
1233,1,BHK,Apartment,Kondapur,Hyderabad,"24,000",600,Furnished,,,
1234,3,BHK,Independent,Hyderguda,Hyderabad,"28,000",1250,Semi-Furnished,,,
1235,1,BHK,Apartment,Kondapur,Hyderabad,"24,000",600,Furnished,,,
1236,1,BHK,Apartment,Kondapur,Hyderabad,"25,000",600,Furnished,,,
1237,1,BHK,Apartment,Kondapur,Hyderabad,"24,000",600,Furnished,,,
1238,1,BHK,Apartment,Kondapur,Hyderabad,"18,000",600,Semi-Furnished,,,
1239,3,BHK,Apartment,Kondapur,Hyderabad,"60,000",1730,Semi-Furnished,,,
1240,2,BHK,Independent,AS Rao Nagar,Hyderabad,"17,000",1350,Semi-Furnished,No,2,East
1241,3,BHK,Apartment,Kondapur,Hyderabad,"60,000",1730,Semi-Furnished,,,
1242,3,BHK,Apartment,Madhapur,Hyderabad,1.9,2680,Furnished,,,
1243,3,BHK,Independent,Manikonda Road,Hyderabad,"37,000",1900,Semi-Furnished,,,
1244,1,BHK,Apartment,Kondapur,Hyderabad,"24,000",600,Furnished,,,3rd
1245,2,BHK,Apartment,Bachupally,Hyderabad,"20,000",1600,Semi-Furnished,No,2,
1246,2,BHK,Independent,Dammaiguda,Hyderabad,"9,000",1000,Unfurnished,No,2,North
1247,3,BHK,Apartment,Bachupally,Hyderabad,"28,000",1479,Semi-Furnished,No,3,East
1248,2,BHK,Apartment,Gachibowli,Hyderabad,"32,000",1342,Semi-Furnished,,,
1249,1,BHK,Apartment,Kondapur,Hyderabad,"9,000",650,Semi-Furnished,No,1,
1250,2,BHK,Apartment,Kondapur,Hyderabad,"18,000",1320,Semi-Furnished,No,2,East
1251,3,BHK,Apartment,Kokapet,Hyderabad,"48,000",1485,Semi-Furnished,,,
1252,2,BHK,Apartment,Manikonda,Hyderabad,"45,000",1314,Semi-Furnished,,,
1253,3,BHK,Apartment,Shaikpet,Hyderabad,"56,000",2190,Semi-Furnished,,,
1254,3,BHK,Apartment,Kondapur,Hyderabad,"80,000",2020,Semi-Furnished,,,
1255,3,BHK,Apartment,Manikonda,Hyderabad,"55,000",1905,Semi-Furnished,,,
1256,1,BHK,Independent,Anjaiah Nagar,Hyderabad,"21,000",600,Furnished,,,
1257,4,BHK,Apartment,Hitech City,Hyderabad,"85,000",3600,Semi-Furnished,,,
1258,3,BHK,Apartment,Hitech City,Hyderabad,"45,000",1580,Furnished,,,
1259,3,BHK,Apartment,Manikonda,Hyderabad,"55,000",1834,Semi-Furnished,,,
1260,4,BHK,Apartment,Gachibowli,Hyderabad,"95,000",2708,Furnished,,,
1261,4,BHK,Villa,Narsingi,Hyderabad,,,Semi-Furnished,,,
1262,2,BHK,Apartment,Kompally,Hyderabad,"16,000",1175,Semi-Furnished,,,
1263,1,BHK,Independent,Madhura Nagar,Hyderabad,"8,000",230,Semi-Furnished,,,
1264,1,BHK,Independent,Chandanagar,Hyderabad,"11,000",800,Unfurnished,,,
1265,2,BHK,Penthouse,Chandanagar,Hyderabad,"15,000",1100,Semi-Furnished,,,
1266,2,BHK,Apartment,Rajendra Nagar,Hyderabad,"23,000",940,Semi-Furnished,No,2,East
1267,2,BHK,Apartment,Rajendra Nagar,Hyderabad,"23,000",940,Semi-Furnished,No,2,East
1268,2,BHK,Apartment,Rajendra Nagar,Hyderabad,"23,000",940,Semi-Furnished,No,2,East
1269,2,BHK,Apartment,Rajendra Nagar,Hyderabad,"23,000",940,Semi-Furnished,No,2,East
1270,2,BHK,Apartment,Rajendra Nagar,Hyderabad,"23,000",940,Semi-Furnished,No,2,East
1271,2,BHK,Apartment,Rajendra Nagar,Hyderabad,"23,000",940,Semi-Furnished,No,2,East
1272,2,BHK,Apartment,Rajendra Nagar,Hyderabad,"23,000",940,Semi-Furnished,No,2,East
1273,2,BHK,Apartment,Rajendra Nagar,Hyderabad,"23,000",940,Semi-Furnished,No,2,East
1274,2,BHK,Apartment,Rajendra Nagar,Hyderabad,"23,000",940,Semi-Furnished,No,2,East
1275,2,BHK,Apartment,Rajendra Nagar,Hyderabad,"23,000",940,Semi-Furnished,No,2,East
1276,2,BHK,Apartment,Rajendra Nagar,Hyderabad,"23,000",940,Semi-Furnished,No,2,East
1277,2,BHK,Apartment,Rajendra Nagar,Hyderabad,"23,000",940,Semi-Furnished,No,2,East
1278,3,BHK,Apartment,Kompally,Hyderabad,"27,500",1400,Furnished,No,2,East
1279,1,BHK,Independent,Malkajgiri,Hyderabad,"10,000",600,Semi-Furnished,No,2,East
1280,2,BHK,Apartment,Malkajgiri,Hyderabad,"12,500",1334,Semi-Furnished,No,1,
1281,1,BHK,Apartment,Gajularamaram,Hyderabad,"7,500",450,Semi-Furnished,No,1,West
1282,1,BHK,Apartment,Gajularamaram,Hyderabad,"7,500",450,Semi-Furnished,No,1,West
1283,3,BHK,Independent,Malkajgiri Hyderabad,Hyderabad,"14,000",2950,Unfurnished,,,
1284,5,BHK,Villa,Gopanpally,Hyderabad,"55,000",3500,Semi-Furnished,,,
1285,2,BHK,Independent,Uppal,Hyderabad,"23,000",2000,Semi-Furnished,,,
1286,3,BHK,Apartment,Kompally,Hyderabad,"27,500",1400,Furnished,No,2,East
1287,1,BHK,Independent,Malkajgiri,Hyderabad,"10,000",600,Semi-Furnished,No,2,East
1288,1,BHK,Independent,Malkajgiri,Hyderabad,"10,000",600,Semi-Furnished,No,2,East
1289,1,BHK,Independent,Malkajgiri,Hyderabad,"10,000",600,Semi-Furnished,No,2,East
1290,3,BHK,Apartment,Kompally,Hyderabad,"27,500",1400,Furnished,No,2,East
1291,2,BHK,Independent,Serilingampally,Hyderabad,"17,000",1100,Semi-Furnished,No,2,
1292,1,BHK,Independent,Malkajgiri,Hyderabad,"10,000",600,Semi-Furnished,No,2,East
1293,1,BHK,Independent,Malkajgiri,Hyderabad,"10,000",600,Semi-Furnished,No,2,East
1294,1,BHK,Independent,Malkajgiri,Hyderabad,"10,000",600,Semi-Furnished,No,2,East
1295,1,BHK,Independent,Malkajgiri,Hyderabad,"10,000",600,Semi-Furnished,No,2,East
1296,2,BHK,Independent,Serilingampally,Hyderabad,"17,000",1100,Semi-Furnished,No,2,
1297,3,BHK,Apartment,Kompally,Hyderabad,"27,500",1400,Furnished,No,2,East
1298,3,BHK,Apartment,Kompally,Hyderabad,"27,500",1400,Furnished,No,2,East
1299,3,BHK,Apartment,Kompally,Hyderabad,"27,500",1400,Furnished,No,2,East
1300,3,BHK,Apartment,Kompally,Hyderabad,"27,500",1400,Furnished,No,2,East
1301,3,BHK,Apartment,Kompally,Hyderabad,"27,500",1400,Furnished,No,2,East
1302,1,BHK,Independent,Malkajgiri,Hyderabad,"10,000",600,Semi-Furnished,No,2,East
1303,4,BHK,Apartment,Bandlaguda Jagir,Hyderabad,"30,000",2000,Furnished,,,
1304,4,BHK,Villa,Beeramguda,Hyderabad,"20,000",2800,Semi-Furnished,,,
1305,2,BHK,Apartment,Bowenpally,Hyderabad,"24,985",1315,Furnished,,,
1306,3,BHK,Apartment,Kompally,Hyderabad,"16,000",1400,Semi-Furnished,,,
1307,2,BHK,Apartment,Kukatpally,Hyderabad,"27,000",1262,Semi-Furnished,,,
1308,2,BHK,Independent,Alwal,Hyderabad,"9,800",900,Unfurnished,No,2,North
1309,1,BHK,Independent,Golnaka,Hyderabad,"7,000",900,Unfurnished,,,
1310,1,BHK,Independent,Jillelaguda,Hyderabad,"5,000",400,Semi-Furnished,,,
1311,1,RK,Studio,Gachibowli,Hyderabad,"20,000",450,Furnished,No,1,East
1312,3,BHK,Apartment,Kompally,Hyderabad,"25,000",1395,Semi-Furnished,No,3,West
1313,4,BHK,Villa,Kukatpally,Hyderabad,"80,000",3415,Semi-Furnished,,,
1314,2,BHK,Apartment,Syed Ali Guda,Hyderabad,"15,000",1100,Unfurnished,No,2,East
1315,3,BHK,Apartment,Sainikpuri,Hyderabad,"24,000",1450,Semi-Furnished,No,2,West
1316,3,BHK,Apartment,Qutub Shahi Tombs,Hyderabad,"19,000",1200,Semi-Furnished,No,3,
1317,1,BHK,Apartment,Kondapur,Hyderabad,"11,000",720,Furnished,No,1,NorthEast
1318,3,BHK,Villa,Shankarpally Road,Hyderabad,"45,000",2450,Semi-Furnished,No,4,East
1319,2,BHK,Independent,Masab Tank,Hyderabad,"20,000",900,Semi-Furnished,No,1,West
1320,3,BHK,Apartment,Manikonda,Hyderabad,"60,000",1383,Furnished,No,3,
1321,1,BHK,Apartment,Kondapur,Hyderabad,"11,000",730,Furnished,No,1,NorthEast
1322,1,BHK,Apartment,Gachibowli,Hyderabad,"11,000",720,Furnished,No,1,NorthEast
1323,1,BHK,Apartment,Gachibowli,Hyderabad,"11,000",720,Furnished,No,1,NorthEast
1324,2,BHK,Apartment,Miyapur,Hyderabad,"19,000",1800,Unfurnished,No,2,
1325,1,BHK,Independent,Azamabad,Hyderabad,"12,000",900,Unfurnished,No,1,
1326,2,BHK,Independent,Boduppal,Hyderabad,"8,500",900,Unfurnished,No,2,
1327,3,BHK,Apartment,Tellapur,Hyderabad,"50,000",1840,Semi-Furnished,No,3,
1328,2,BHK,Apartment,Kukatpally,Hyderabad,"28,000",1135,Furnished,No,2,
1329,1,BHK,Apartment,Kondapur,Hyderabad,"18,000",400,Semi-Furnished,No,1,
1330,4,BHK,Independent,Zaheerabad,Hyderabad,1.1,4000,Semi-Furnished,No,4,
1331,3,BHK,Apartment,Bolarum,Hyderabad,"25,000",1680,Semi-Furnished,No,3,
1332,1,BHK,Independent,Bollaram,Hyderabad,"6,500",350,Unfurnished,No,1,
1333,2,BHK,Independent,Nacharam,Hyderabad,"15,000",1200,Furnished,,,
1334,1,BHK,Apartment,Gachibowli,Hyderabad,"15,000",650,Furnished,No,1,East
1335,1,RK,Studio,Ameerpet,Hyderabad,"6,000",163,Semi-Furnished,No,1,
1336,2,BHK,Independent,Sainikpuri,Hyderabad,"35,000",2500,Semi-Furnished,No,2,
1337,3,BHK,Independent,Serilingampally,Hyderabad,"25,000",1250,Semi-Furnished,No,3,
1338,2,BHK,Independent,Nacharam,Hyderabad,"12,000",800,Unfurnished,No,2,
1339,2,BHK,Apartment,Bachupally,Hyderabad,"14,000",1150,Unfurnished,No,2,
1340,2,BHK,Independent,Karmanghat,Hyderabad,"12,000",1250,Semi-Furnished,No,1,West
1341,2,BHK,Apartment,Banjara Hills,Hyderabad,"20,000",1200,Furnished,No,2,
1342,1,RK,Studio,Lakdikapul,Hyderabad,"5,000",150,Unfurnished,No,1,
1343,1,BHK,Independent,Gajularamaram,Hyderabad,"9,500",580,Unfurnished,No,1,
1344,3,BHK,Apartment,Kompally,Hyderabad,"25,000",1400,Furnished,No,2,East
